Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C0.1uF,C_0603_1608Metric,96.643403,-98.854851,-120,top
C10,C0.1uF,C_0603_1608Metric,182.651469,-57.372001,120,top
C11,C0.1uF,C_0603_1608Metric,189.422942,-69.100523,120,top
C12,C0.1uF,C_0603_1608Metric,196.194405,-80.829055,120,top
C13,C0.1uF,C_0603_1608Metric,215.209578,-73.000818,-60,top
C14,C0.1uF,C_0603_1608Metric,205.352454,-88.515028,-60,top
C15,C0.1uF,C_0603_1608Metric,206.601609,-109.651646,60,top
C16,C0.1uF,C_0603_1608Metric,199.830144,-121.380172,60,top
C17,C0.1uF,C_0603_1608Metric,193.058672,-133.108699,60,top
C18,C0.1uF,C_0603_1608Metric,186.287205,-144.837224,60,top
C19,C0.1uF,C_0603_1608Metric,180.979841,-155.101648,30,top
C2,C0.1uF,C_0603_1608Metric,103.414862,-87.126327,-120,top
C20,C0.1uF,C_0603_1608Metric,169.436909,-154.565745,0,top
C21,C0.1uF,C_0603_1608Metric,155.89397,-154.565746,0,top
C22,C0.1uF,C_0603_1608Metric,142.351038,-154.565751,0,top
C23,C0.1uF,C_0603_1608Metric,128.808103,-154.565751,0,top
C24,C0.1uF,C_0603_1608Metric,120.593537,-151.134503,-60,top
C25,C0.1uF,C_0603_1608Metric,113.822068,-139.405976,-60,top
C26,C0.1uF,C_0603_1608Metric,107.0506,-127.677448,-60,top
C27,C0.1uF,C_0603_1608Metric,88.036236,-135.50515,120,top
C28,C0.1uF,C_0603_1608Metric,97.892557,-119.991474,120,top
C29,C0.1uF,C_0603_1608Metric,131.003111,-111.883933,-90,top
C3,C0.1uF,C_0603_1608Metric,110.186336,-75.397798,-120,top
C30,C0.1uF,C_0603_1608Metric,131.521414,-98.418024,-90,top
C31,C0.1uF,C_0603_1608Metric,132.039712,-84.952114,-90,top
C32,C0.1uF,C_0603_1608Metric,148.917974,-70.588004,-90,top
C33,C0.1uF,C_0603_1608Metric,148.399667,-84.053913,90,top
C34,C0.1uF,C_0603_1608Metric,147.881365,-97.519818,90,top
C35,C0.1uF,C_0603_1608Metric,147.36307,-110.985727,90,top
C36,C0.1uF,C_0603_1608Metric,146.84476,-124.451635,90,top
C37,C0.1uF,C_0603_1608Metric,146.32646,-137.91755,90,top
C38,C0.1uF,C_0603_1608Metric,179.205297,-123.55439,-90,top
C39,C0.1uF,C_0603_1608Metric,180.2419,-96.622565,-90,top
C4,C0.1uF,C_0603_1608Metric,116.957802,-63.669272,-120,top
C40,C0.1uF,C_0603_1608Metric,179.723598,-110.088479,-90,top
C5,C0.1uF,C_0603_1608Metric,122.265165,-53.404846,-150,top
C6,C0.1uF,C_0603_1608Metric,133.808101,-53.940746,180,top
C7,C0.1uF,C_0603_1608Metric,147.351037,-53.940748,180,top
C8,C0.1uF,C_0603_1608Metric,160.893971,-53.94075,180,top
C9,C0.1uF,C_0603_1608Metric,174.436906,-53.940751,180,top
D1,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,93.179294,-96.854848,240,top
D10,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,186.115578,-55.372001,120,top
D11,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,192.887039,-67.100521,120,top
D12,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,199.658511,-78.829049,120,top
D13,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,211.745482,-75.000818,120,top
D14,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,208.816557,-86.515025,120,top
D15,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,210.065712,-111.651647,60,top
